Date,Description,Out,In,Transfer Account
6/1/2024,rolly salary,3000.0,,Expenses:Professional Fees
6/2/2024,knife sharpening,650.0,,Expenses:Professional Fees
6/4/2024,withdraw,,7000.0,Assets:Current Assets:Banks Local:BPI ATM House
6/6/2024,jeeves,500.0,,Expenses:Food:Groceries
6/7/2024,bernard,1150.0,,Expenses:Food:Groceries
6/7/2024,true value (EPS),,716.0,Assets:Current Assets:Banks Local:BPI ATM House
6/7/2024,true value (EPS),716.0,,Assets:Current Assets:Banks Local:BPI ATM House
6/7/2024,dinner playdate,1500.0,,Expenses:Food:Dining
6/7/2024,honey,1970.0,,Expenses:Food:Groceries
6/7/2024,withdraw,,20000.0,Assets:Current Assets:Banks Local:BPI ATM House
6/7/2024,tennis,3000.0,,Expenses:Health:Sports
6/7/2024,mam B,60.0,,Expenses:Transportation:Parking
6/7/2024,labor grease trap cleaning,1000.0,,Expenses:Professional Fees
6/7/2024,karlens milk,828.0,,Expenses:Food:Groceries
6/7/2024,mozarella,121.0,,Expenses:Food:Groceries
6/7/2024,ham,117.0,,Expenses:Food:Groceries
6/7/2024,ground beef,713.0,,Expenses:Food:Groceries
6/7/2024,pork neck,613.0,,Expenses:Food:Groceries
6/7/2024,rider santis,250.0,,Expenses:Professional Fees
6/7/2024,bell pepper,380.0,,Expenses:Food:Groceries
6/7/2024,banana,210.0,,Expenses:Food:Groceries
6/7/2024,celery,145.0,,Expenses:Food:Groceries
6/7/2024,orange,120.0,,Expenses:Food:Groceries
6/7/2024,apple,150.0,,Expenses:Food:Groceries
6/7/2024,egg,250.0,,Expenses:Food:Groceries
6/7/2024,tomato,145.0,,Expenses:Food:Groceries
6/7/2024,kamote,160.0,,Expenses:Food:Groceries
6/7/2024,grapes,230.0,,Expenses:Food:Groceries
6/7/2024,mint,75.0,,Expenses:Food:Groceries
6/7/2024,broccoli,380.0,,Expenses:Food:Groceries
6/7/2024,onion,165.0,,Expenses:Food:Groceries
6/7/2024,flower,600.0,,Expenses:Food:Groceries
6/7/2024,wansoy,260.0,,Expenses:Food:Groceries
6/7/2024,carrots,210.0,,Expenses:Food:Groceries
6/7/2024,cucumber,260.0,,Expenses:Food:Groceries
6/7/2024,zucchini,210.0,,Expenses:Food:Groceries
6/7/2024,squash,150.0,,Expenses:Food:Groceries
6/7/2024,avocado,350.0,,Expenses:Food:Groceries
6/7/2024,pomelo,210.0,,Expenses:Food:Groceries
6/7/2024,spinach,240.0,,Expenses:Food:Groceries
6/7/2024,mango,160.0,,Expenses:Food:Groceries
6/7/2024,spring onion,45.0,,Expenses:Food:Groceries
6/7/2024,potato,450.0,,Expenses:Food:Groceries
6/7/2024,alugbati,50.0,,Expenses:Food:Groceries
6/7/2024,basil,75.0,,Expenses:Food:Groceries
6/7/2024,pinya,210.0,,Expenses:Food:Groceries
6/7/2024,cauliflower,320.0,,Expenses:Food:Groceries
6/7/2024,elmer,1000.0,,Expenses:Housing:Gardening
6/7/2024,fertilizer,800.0,,Expenses:Food:Groceries
6/7/2024,pampano,650.0,,Expenses:Food:Groceries
6/7/2024,prawns,1560.0,,Expenses:Food:Groceries
6/7/2024,tilapia,460.0,,Expenses:Food:Groceries
6/7/2024,salmon,900.0,,Expenses:Food:Groceries
6/7/2024,romaine,560.0,,Expenses:Food:Groceries
6/7/2024,cherry tomato,160.0,,Expenses:Food:Groceries
6/7/2024,ginger,80.0,,Expenses:Food:Groceries
6/7/2024,garlic,140.0,,Expenses:Food:Groceries
6/7/2024,sili,100.0,,Expenses:Food:Groceries
6/7/2024,betroot,180.0,,Expenses:Food:Groceries
6/7/2024,calamansi,50.0,,Expenses:Food:Groceries
6/7/2024,asparagus,420.0,,Expenses:Food:Groceries
6/7/2024,lemon ,150.0,,Expenses:Food:Groceries
6/7/2024,leeks,90.0,,Expenses:Food:Groceries
6/7/2024,chinese broccoli,190.0,,Expenses:Food:Groceries
6/7/2024,strawberry,420.0,,Expenses:Food:Groceries
6/7/2024,dragon fruits,180.0,,Expenses:Food:Groceries
6/8/2024,withdraw,,7000.0,Assets:Current Assets:Banks Local:BPI ATM House
6/8/2024,ARC,660.0,,Expenses:Utilities:Drinking Water
6/8/2024,ara ,1000.0,,Expenses:Household Staff:Ara:Others
6/8/2024,michelle,1000.0,,Expenses:Household Staff:Michelle:Others
6/8/2024,summit,1045.0,,Expenses:Utilities:Drinking Water
6/8/2024,Nuts & del fee,2285.0,,Expenses:Professional Fees
6/10/2024,lamp candle bulb x4,416.0,,Expenses:Household Supplies
6/11/2024,rider del fee santis,250.0,,Expenses:Professional Fees
6/12/2024,Ara Holiday,650.0,,Expenses:Household Staff:Ara:OT
6/14/2024,salt lamp bulb x6,132.0,,Expenses:Household Supplies
6/14/2024,shadows food,2045.0,,Expenses:Household Supplies:Pet Expenses
6/14/2024,withdraw,,20000.0,Assets:Current Assets:Banks Local:BPI ATM House
6/14/2024,alessi medicines,950.0,,Expenses:Health:Medicines
6/14/2024,Healthy Option,3000.0,,Expenses:Health:Alternative
6/14/2024,Elmer,1000.0,,Expenses:Housing:Gardening
6/14/2024,romaine,560.0,,Expenses:Food:Groceries
6/14/2024,flower,550.0,,Expenses:Food:Groceries
6/14/2024,celery,168.0,,Expenses:Food:Groceries
6/14/2024,cucumber,308.0,,Expenses:Food:Groceries
6/14/2024,cherry tomato,160.0,,Expenses:Food:Groceries
6/14/2024,gasul,150.0,,Expenses:Utilities:Gas
6/14/2024,onion,180.0,,Expenses:Food:Groceries
6/14/2024,ginger,100.0,,Expenses:Food:Groceries
6/14/2024,bell pepper,280.0,,Expenses:Food:Groceries
6/14/2024,apple,150.0,,Expenses:Food:Groceries
6/14/2024,cauliflower,360.0,,Expenses:Food:Groceries
6/14/2024,snow peas,120.0,,Expenses:Food:Groceries
6/14/2024,potato,380.0,,Expenses:Food:Groceries
6/14/2024,banana,210.0,,Expenses:Food:Groceries
6/14/2024,kalabasa,150.0,,Expenses:Food:Groceries
6/14/2024,eggs,250.0,,Expenses:Food:Groceries
6/14/2024,dyaryo,450.0,,Expenses:Food:Groceries
6/14/2024,calamansi,100.0,,Expenses:Food:Groceries
6/14/2024,broccoli,420.0,,Expenses:Food:Groceries
6/14/2024,asparagus,480.0,,Expenses:Food:Groceries
6/14/2024,pomelo,200.0,,Expenses:Food:Groceries
6/14/2024,orange,120.0,,Expenses:Food:Groceries
6/14/2024,lemon ,80.0,,Expenses:Food:Groceries
6/14/2024,french beans,150.0,,Expenses:Food:Groceries
6/14/2024,kinchay,150.0,,Expenses:Food:Groceries
6/14/2024,alugbati,75.0,,Expenses:Food:Groceries
6/14/2024,tomato,80.0,,Expenses:Food:Groceries
6/14/2024,tilapya ,560.0,,Expenses:Food:Groceries
6/14/2024,pampano,680.0,,Expenses:Food:Groceries
6/14/2024,galungong,480.0,,Expenses:Food:Groceries
6/14/2024,talakitok,780.0,,Expenses:Food:Groceries
6/15/2024,ara food allowance,1000.0,,Liabilities:Other:Ara Loan:Allowance
6/15/2024,michelle food allowance,1000.0,,Liabilities:Other:Michelle Loan:Allowance
6/15/2024,rider,250.0,,Expenses:Professional Fees
6/15/2024,karlens milk,690.0,,Expenses:Food:Groceries
6/15/2024,yougurt,456.0,,Expenses:Food:Groceries
6/15/2024,ARC,360.0,,Expenses:Utilities:Drinking Water
6/17/2024,Holiday michelle,650.0,,Expenses:Food:Groceries
6/19/2024,withdraw,,8000.0,Assets:Current Assets:Banks Local:BPI ATM House
6/19/2024,honey & del fee,2730.0,,Expenses:Professional Fees
6/19/2024,nuts & del fee,1880.0,,Expenses:Professional Fees
6/19/2024,bernard berries,1800.0,,Expenses:Food:Groceries
6/21/2024,withdraw,,20000.0,Assets:Current Assets:Banks Local:BPI ATM House
6/21/2024,milk ,829.0,,Expenses:Food:Groceries
6/21/2024,rider,250.0,,Expenses:Professional Fees
6/21/2024,mozarella,491.0,,Expenses:Food:Groceries
6/21/2024,truffle cheese,677.0,,Expenses:Food:Groceries
6/21/2024,smoke gouda cheese,545.0,,Expenses:Food:Groceries
6/21/2024,farmers ham,158.0,,Expenses:Food:Groceries
6/21/2024,olives ,392.0,,Expenses:Food:Groceries
6/21/2024,yougurt,304.0,,Expenses:Food:Groceries
6/21/2024,porkloin,890.0,,Expenses:Food:Groceries
6/21/2024,porkneck,720.0,,Expenses:Food:Groceries
6/21/2024,ground beef,1220.0,,Expenses:Food:Groceries
6/21/2024,parsley,235.0,,Expenses:Food:Groceries
6/21/2024,basil,75.0,,Expenses:Food:Groceries
6/21/2024,talong,145.0,,Expenses:Food:Groceries
6/21/2024,onion,310.0,,Expenses:Food:Groceries
6/21/2024,romaine,720.0,,Expenses:Food:Groceries
6/21/2024,bell pepper,280.0,,Expenses:Food:Groceries
6/21/2024,sitaw,95.0,,Expenses:Food:Groceries
6/21/2024,flowers,640.0,,Expenses:Food:Groceries
6/21/2024,cauliflower,396.0,,Expenses:Food:Groceries
6/21/2024,egg,250.0,,Expenses:Food:Groceries
6/21/2024,broccoli,395.0,,Expenses:Food:Groceries
6/21/2024,tomato,190.0,,Expenses:Food:Groceries
6/21/2024,potato,380.0,,Expenses:Food:Groceries
6/21/2024,mint,90.0,,Expenses:Food:Groceries
6/21/2024,corriander,180.0,,Expenses:Food:Groceries
6/21/2024,strawberry,380.0,,Expenses:Food:Groceries
6/21/2024,grapes,290.0,,Expenses:Food:Groceries
6/21/2024,jap. cucumber,170.0,,Expenses:Food:Groceries
6/21/2024,mango,280.0,,Expenses:Food:Groceries
6/21/2024,pomelo,210.0,,Expenses:Food:Groceries
6/21/2024,orange,120.0,,Expenses:Food:Groceries
6/21/2024,apple,150.0,,Expenses:Food:Groceries
6/21/2024,french beans,150.0,,Expenses:Food:Groceries
6/21/2024,lemon ,150.0,,Expenses:Food:Groceries
6/21/2024,spring onion,65.0,,Expenses:Food:Groceries
6/21/2024,alugbati,45.0,,Expenses:Food:Groceries
6/21/2024,mushroom,180.0,,Expenses:Food:Groceries
6/21/2024,spinach,160.0,,Expenses:Food:Groceries
6/21/2024,celery,168.0,,Expenses:Food:Groceries
6/21/2024,avocado,250.0,,Expenses:Food:Groceries
6/21/2024,dragon fruits,195.0,,Expenses:Food:Groceries
6/21/2024,mustard,60.0,,Expenses:Food:Groceries
6/21/2024,tanigui,980.0,,Expenses:Food:Groceries
6/21/2024,pampano,650.0,,Expenses:Food:Groceries
6/21/2024,tilapya ,480.0,,Expenses:Food:Groceries
6/21/2024,salmon,900.0,,Expenses:Food:Groceries
6/21/2024,talakitok,780.0,,Expenses:Food:Groceries
6/21/2024,ara angkas PRA,120.0,,Expenses:Transportation:Public
6/21/2024,Ritual del fee,147.0,,Expenses:Professional Fees
6/21/2024,ara angkas PRA,225.0,,Expenses:Transportation:Public
6/21/2024,Elmer ,1000.0,,Expenses:Housing:Gardening
6/21/2024,ara food allowance,1000.0,,Liabilities:Other:Ara Loan:Allowance
6/21/2024,michelle food allowance,1000.0,,Liabilities:Other:Michelle Loan:Allowance
6/21/2024,mam B,60.0,,Expenses:Transportation:Parking
6/22/2024,playdate lunch,650.0,,Expenses:Food:Dining
6/22/2024,del fee mercury drug,150.0,,Expenses:Professional Fees
6/22/2024,metro mart exceed,100.0,,Expenses:Food:Groceries
6/23/2024,withdraw,,5000.0,Assets:Current Assets:Banks Local:BPI ATM House
6/24/2024,Ara Holiday,650.0,,Expenses:Household Staff:Ara:OT
6/24/2024,michelle holiday,650.0,,Expenses:Household Staff:Michelle:OT
6/25/2024,virex fee check up,500.0,,Expenses:Professional Fees
6/26/2024,alessi grab,200.0,,Expenses:Transportation:Public
6/26/2024,bernard berries,950.0,,Expenses:Food:Groceries
6/27/2024,kosher salt,295.0,,Expenses:Food:Groceries
6/28/2024,withdraw ,,19000.0,Assets:Current Assets:Banks Local:BPI ATM House
6/28/2024,tennis,3000.0,,Expenses:Health:Sports
6/28/2024,knife sharpening,850.0,,Expenses:Professional Fees
6/28/2024,rider,250.0,,Expenses:Professional Fees
6/28/2024,milk ,828.0,,Expenses:Food:Groceries
6/28/2024,ground beef,1557.0,,Expenses:Food:Groceries
6/28/2024,pork loin,724.0,,Expenses:Food:Groceries
6/28/2024,olives,392.0,,Expenses:Food:Groceries
6/28/2024,ham,148.0,,Expenses:Food:Groceries
6/28/2024,yougurt,380.0,,Expenses:Food:Groceries
6/28/2024,playdate lunch,1025.0,,Expenses:Food:Dining
6/28/2024,flowers,550.0,,Expenses:Food:Groceries
6/28/2024,romaine,580.0,,Expenses:Food:Groceries
6/28/2024,cucumber,350.0,,Expenses:Food:Groceries
6/28/2024,celery,165.0,,Expenses:Food:Groceries
6/28/2024,egg,380.0,,Expenses:Food:Groceries
6/28/2024,tomato,130.0,,Expenses:Food:Groceries
6/28/2024,broccoli,365.0,,Expenses:Food:Groceries
6/28/2024,corriander,160.0,,Expenses:Food:Groceries
6/28/2024,basil,175.0,,Expenses:Food:Groceries
6/28/2024,mint,75.0,,Expenses:Food:Groceries
6/28/2024,leeks,75.0,,Expenses:Food:Groceries
6/28/2024,onion,230.0,,Expenses:Food:Groceries
6/28/2024,potato,380.0,,Expenses:Food:Groceries
6/28/2024,snow peas,75.0,,Expenses:Food:Groceries
6/28/2024,carrots,210.0,,Expenses:Food:Groceries
6/28/2024,zucchini,420.0,,Expenses:Food:Groceries
6/28/2024,cabbage,100.0,,Expenses:Food:Groceries
6/28/2024,banana,190.0,,Expenses:Food:Groceries
6/28/2024,apple,150.0,,Expenses:Food:Groceries
6/28/2024,ponkan,90.0,,Expenses:Food:Groceries
6/28/2024,grapes,230.0,,Expenses:Food:Groceries
6/28/2024,spring onion,60.0,,Expenses:Food:Groceries
6/28/2024,spinach,130.0,,Expenses:Food:Groceries
6/28/2024,chili,70.0,,Expenses:Food:Groceries
6/28/2024,pomelo,210.0,,Expenses:Food:Groceries
6/28/2024,squash,168.0,,Expenses:Food:Groceries
6/28/2024,sayote,130.0,,Expenses:Food:Groceries
6/28/2024,luya,70.0,,Expenses:Food:Groceries
6/28/2024,bockhoy,70.0,,Expenses:Food:Groceries
6/28/2024,garlic,90.0,,Expenses:Food:Groceries
6/28/2024,cherry tomato,160.0,,Expenses:Food:Groceries
6/28/2024,lemon ,120.0,,Expenses:Food:Groceries
6/28/2024,dragon fruits,195.0,,Expenses:Food:Groceries
6/28/2024,pinya,190.0,,Expenses:Food:Groceries
6/28/2024,cauliflower,260.0,,Expenses:Food:Groceries
6/28/2024,asparagus,390.0,,Expenses:Food:Groceries
6/28/2024,french beans,120.0,,Expenses:Food:Groceries
6/28/2024,pampano,580.0,,Expenses:Food:Groceries
6/28/2024,tilapya ,430.0,,Expenses:Food:Groceries
6/28/2024,prawns,1550.0,,Expenses:Food:Groceries
6/28/2024,talakitok,730.0,,Expenses:Food:Groceries
6/29/2024,withdraw,,10000.0,Assets:Current Assets:Banks Local:BPI ATM House
6/29/2024,elmer,1000.0,,Expenses:Housing:Gardening
6/29/2024,plant shop & taxi,3100.0,,Expenses:Transportation:Public
6/29/2024,fertilizer,900.0,,Expenses:Food:Groceries
6/29/2024,ara food allowance,1000.0,,Liabilities:Other:Ara Loan:Allowance
6/29/2024,michelle food allowance,1000.0,,Liabilities:Other:Michelle Loan:Allowance
6/29/2024,mam B,60.0,,Expenses:Transportation:Parking
6/29/2024,ARC,600.0,,Expenses:Utilities:Drinking Water
6/29/2024,Summit,820.0,,Expenses:Utilities:Drinking Water
6/29/2024,True Value Pool Bulb,973.0,,Expenses:Household Supplies
